Year,NUTS 3 Region,SectorAgg,GVA,PersonsAtWork,Productivity
2001,Mid-West,Knowledge & Professional Services,1453.1100000000001,23.11,62877.97490263956
2001,Mid-West,Public Services,1398.61,33.8,41378.99408284024
2001,Midlands,Agriculture & Fishing,166.3,9.14,18194.748358862144
2001,Midlands,Arts & Other Services,84.72,3.36,25214.285714285714
2001,Midlands,Distribution & Hospitality,654.55,19.52,33532.274590163935
2001,Midlands,Industry,1539.76,25.91,59427.24816673099
2001,Midlands,Knowledge & Professional Services,573.72,8.030000000000001,71447.07347447073
2001,Midlands,Public Services,729.37,15.66,46575.35121328225
2001,South-East,Agriculture & Fishing,364.19,17.22,21149.24506387921
2001,South-East,Arts & Other Services,153.77,6.89,22317.851959361393
2001,South-East,Distribution & Hospitality,994.86,37.34,26643.277986073914
2001,South-East,Industry,2959.6400000000003,44.56,66419.21005385998
2001,South-East,Knowledge & Professional Services,972.5,15.47,62863.60698125404
2001,South-East,Public Services,1067.37,27.36,39012.06140350877
2001,South-West,Agriculture & Fishing,609.89,21.26,28687.206020696143
2001,South-West,Arts & Other Services,264.59,12.06,21939.46932006633
2001,South-West,Distribution & Hospitality,3106.25,67.63,45930.06062398344
2001,South-West,Industry,9287.02,80.25999999999999,115711.68701719414
2001,South-West,Knowledge & Professional Services,2819.1400000000003,36.61,77004.6435400164
2001,South-West,Public Services,2184.5,47.23,46252.38196061825
2001,West,Agriculture & Fishing,218.28,23.65,9229.598308668075
2001,West,Arts & Other Services,156.96,6.64,23638.55421686747
2001,West,Distribution & Hospitality,1060.79,38.17,27791.19727534713
2001,West,Industry,3550.23,47.980000000000004,73993.95581492287
2001,West,Knowledge & Professional Services,1494.8899999999999,17.93,83373.67540435024
2001,West,Public Services,1472.42,28.88,50984.07202216067
2002,Border,Agriculture & Fishing,288.46,18.48,15609.307359307359
2002,Border,Arts & Other Services,125.7,5.78,21747.404844290657
2002,Border,Distribution & Hospitality,772.92,31.89,24237.06491063029
2002,Border,Industry,2482.39,43.14,57542.6518312471
2002,Border,Knowledge & Professional Services,847.9,12.489999999999998,67886.3090472378
2002,Border,Public Services,1169.67,29.37,39825.331971399384
2002,Dublin,Agriculture & Fishing,73.84,2.59,28509.65250965251
2002,Dublin,Arts & Other Services,1187.04,30.67,38703.61917182915
2002,Dublin,Distribution & Hospitality,7969.33,172.26,46263.38093579473
2002,Dublin,Industry,13919.26,116.67,119304.53415616696
2002,Dublin,Knowledge & Professional Services,22293.02,179.01,124535.05390760292
2002,Dublin,Public Services,6451.64,132.36,48743.12481112118
2002,Ireland,Agriculture & Fishing,2359.98,121.03,19499.13244650087
2002,Ireland,Arts & Other Services,2628.41,88.03,29858.116551175735
2002,Ireland,Distribution & Hospitality,18044.84,467.91,38564.7667286444
